Metabolites,FC,pvalue
MW0152284,1.245013248,0.288499923
MW0152405,1.026299774,0.928043801
MW0152499,1.116735191,0.393845788
MW0152851,0.856403039,0.006376171
MW0153068,0.935974886,0.973265613
MW0153318,1.001199574,0.949428696
MW0153324,1.016881951,0.74312981
MW0154670,0.980443818,0.73727137
MW0154983,0.914770712,0.225975115
MW0155305,0.999495859,0.925995352
MW0155360,0.975658406,0.823138185
MW0155841,1.012436658,0.916780364
MW0156900,0.981596512,0.501497485
MW0157368,0.977658989,0.764943038
MW0157398,0.870702243,0.02674198
MW0157690,1.022729845,0.893327606
MW0158236,1.043621368,0.985358518
MW0158878,1.047641529,0.607800809
MW0159042,0.994219454,0.947508225
MW0159195,0.905288588,0.189893445
MW0160615,0.959823209,0.382894655
MW0161530,1.391873872,0.028178675
MW0162175,1.004806155,0.917444294
MW0162981,0.968810408,0.566602426
MW0164178,0.94561401,0.459591608
MW0164379,1.763557055,0.064895043
MW0168173,1.064835885,0.365880908
MW0168907,1.123318387,0.719291388
MW0170035,1.332791348,0.834125489
LIPID-N-0005,1.002106979,0.950483155
LIPID-N-0006,1.560862007,0.012527676
LIPID-N-0010,1.148705764,0.377773602
LIPID-N-0012,1.218844912,0.374566149
LIPID-N-0013,1.160384246,0.31772797
LIPID-N-0015,1.065371709,0.563984359
LIPID-N-0016,0.838298126,0.172449325
LIPID-N-0026,0.791195117,0.719229893
LIPID-N-0032,0.978585156,0.702066603
LIPID-N-0056,1.369497183,0.926603658
LIPID-N-0062,1.070089817,0.725801199
LIPID-N-0067,0.993349419,0.885935478
LIPID-N-0071,1.030882445,0.875437668
LIPID-N-0072,1.00277616,0.996389171
LIPID-N-0073,1.015016998,0.860536275
LIPID-N-0074,0.990660625,0.775296592
LIPID-N-0075,0.97171662,0.494238898
LIPID-N-0079,0.880748908,0.100427931
LIPID-N-0082,1.223025215,0.658127617
LIPID-N-0084,1.060381132,0.950483155
LIPID-N-0086,1.05296618,0.798228177
LIPID-N-0090,1.006315907,0.798228177
LIPID-N-0091,1.081378789,0.864700179
LIPID-N-0094,1.134759753,0.926603658
LIPID-N-0095,0.967113366,0.971499966
LIPID-N-0098,1.068728084,0.704636975
LIPID-N-0099,1.109180144,0.699188207
LIPID-N-0100,1.01299262,0.904056428
LIPID-N-0102,1.033872931,0.970802923
LIPID-N-0104,0.92539417,0.544859715
LIPID-N-0105,0.965079141,0.598654975
LIPID-N-0108,0.96593508,0.509331249
LIPID-N-0109,0.963557853,0.483730282
LIPID-N-0110,0.812114726,0.021899609
LIPID-N-0111,0.852671636,0.044686154
LIPID-N-0112,0.911816515,0.084780974
LIPID-N-0119,1.028462887,0.630122211
LIPID-N-0122,1.00765347,0.859208101
LIPID-N-0124,1.076219758,0.543335407
LIPID-N-0127,0.899029692,0.196620537
LIPID-N-0129,0.972287866,0.81958228
LIPID-N-0131,0.953268549,0.598654975
LIPID-N-0132,0.93731432,0.75663903
LIPID-N-0134,1.021917847,0.87134324
LIPID-N-0136,0.994664345,0.544859715
LIPID-N-0138,0.930814828,0.42208403
LIPID-N-0139,1.037591406,0.708917698
LIPID-N-0140,1.038028876,0.711918529
LIPID-N-0141,1.021333202,0.953709185
LIPID-N-0142,0.976782469,0.743048666
LIPID-N-0143,0.971003731,0.669264745
LIPID-N-0144,0.962835084,0.534074408
LIPID-N-0147,1.190006728,0.200022493
LIPID-N-0148,1.0245624,0.916969518
LIPID-N-0149,0.978735903,0.985828694
LIPID-N-0150,0.979569309,0.98466114
LIPID-N-0151,1.027703995,0.822666203
LIPID-N-0152,1.018681086,0.859208101
LIPID-N-0154,0.933336251,0.566602426
LIPID-N-0155,1.109283617,0.346142115
LIPID-N-0157,0.957163527,0.88082776
LIPID-N-0158,1.109543142,0.379727444
LIPID-N-0159,1.051321009,0.578011127
LIPID-N-0161,1.021829646,0.793438108
LIPID-N-0162,1.15933061,0.320263429
LIPID-N-0163,0.998135139,0.598654975
LIPID-N-0164,1.116883744,0.483730282
LIPID-N-0165,0.98692542,0.81958228
LIPID-N-0167,0.905517297,0.297100364
LIPID-N-0170,1.041512884,0.365880908
LIPID-N-0175,1.049595732,0.75663903
LIPID-N-0176,0.947106785,0.657406389
LIPID-N-0178,1.05948723,0.82042131
LIPID-N-0179,1.081860378,0.655510441
LIPID-N-0180,0.981155418,0.930358339
LIPID-N-0181,1.081421538,0.324110551
LIPID-N-0187,0.997159266,0.999382093
LIPID-N-0217,1.006003627,0.879722472
LIPID-N-0230,1.064060597,0.403988776
LIPID-N-0234,0.91699682,0.029584722
LIPID-N-0235,0.946419998,0.309093164
LIPID-N-0239,1.042685136,0.626824843
LIPID-N-0240,0.901622098,0.080630617
LIPID-N-0254,0.942419183,0.281240288
LIPID-N-0260,0.939079107,0.726783202
LIPID-N-0262,1.076893696,0.598994358
LIPID-N-0270,0.849494743,0.052961348
LIPID-N-0271,0.968403712,0.72428522
LIPID-N-0274,1.017975836,0.745390755
LIPID-N-0276,0.997376007,0.415636293
LIPID-N-0285,0.988451025,0.944792164
LIPID-N-0287,0.844958638,0.15545633
LIPID-N-0292,0.991214298,0.483730282
LIPID-N-0304,0.888907936,0.070365541
LIPID-N-0320,0.842195302,0.027126366
LIPID-N-0323,1.119789958,0.533031614
LIPID-N-0334,0.995347242,0.933440004
LIPID-N-0335,1.021060575,0.54406969
LIPID-N-0350,0.893508344,0.291485025
LIPID-N-0352,0.937160609,0.594996621
LIPID-N-0353,0.812264921,0.043484435
LIPID-N-0354,1.03269604,0.598654975
LIPID-N-0355,0.903952645,0.409874057
LIPID-N-0365,0.951166011,0.671879511
LIPID-N-0368,0.866568471,0.249116205
LIPID-N-0369,1.023173863,0.877237844
LIPID-N-0370,0.928765552,0.459591608
LIPID-N-0371,0.813382994,0.229234483
LIPID-N-0372,0.920809625,0.393845788
LIPID-N-0373,0.893953122,0.369104818
LIPID-N-0382,0.753445334,0.143146474
LIPID-N-0383,0.948618942,0.603559559
LIPID-N-0387,0.912006148,0.367354338
LIPID-N-0388,0.969602814,0.985828694
LIPID-N-0397,0.959274538,0.460233932
LIPID-N-0398,0.793196313,0.089376135
LIPID-N-0400,0.928895592,0.302585485
LIPID-N-0401,1.073317499,0.864700179
LIPID-N-0402,0.904312778,0.623183159
LIPID-N-0403,0.972638907,0.494238898
LIPID-N-0406,1.092747919,0.719229893
LIPID-N-0413,0.903280249,0.281266052
LIPID-N-0414,0.847512056,0.070437597
LIPID-N-0417,1.064841134,0.307497335
